,region,hour,region_hour_mean,region_hour_std,day_of_week,region_dow_mean,region_dow_std
4379,26,1,40.75909090909091,42.41608593684407,4,172.2421875,98.26649337312323
4380,26,1,40.75909090909091,42.41608593684407,5,152.90755208333334,106.80008762794894
4381,26,1,40.75909090909091,42.41608593684407,6,130.34895833333334,86.10400066090496
4382,26,2,26.51818181818182,32.88189237246222,0,149.0859375,96.97423902957453
4383,26,2,26.51818181818182,32.88189237246222,1,160.8671875,100.2676369834185
4384,26,2,26.51818181818182,32.88189237246222,2,163.86301369863014,101.528917687069
4385,26,2,26.51818181818182,32.88189237246222,3,173.91964285714286,103.36843701805837
4386,26,2,26.51818181818182,32.88189237246222,4,172.2421875,98.26649337312323
4387,26,2,26.51818181818182,32.88189237246222,5,152.90755208333334,106.80008762794894
4388,26,2,26.51818181818182,32.88189237246222,6,130.34895833333334,86.10400066090496
4389,26,3,17.490909090909092,20.75195780148074,0,149.0859375,96.97423902957453
4390,26,3,17.490909090909092,20.75195780148074,1,160.8671875,100.2676369834185
4391,26,3,17.490909090909092,20.75195780148074,2,163.86301369863014,101.528917687069
4392,26,3,17.490909090909092,20.75195780148074,3,173.91964285714286,103.36843701805837
4393,26,3,17.490909090909092,20.75195780148074,4,172.2421875,98.26649337312323
4394,26,3,17.490909090909092,20.75195780148074,5,152.90755208333334,106.80008762794894
4395,26,3,17.490909090909092,20.75195780148074,6,130.34895833333334,86.10400066090496
4396,26,4,15.404545454545454,10.7739317250146,0,149.0859375,96.97423902957453
4397,26,4,15.404545454545454,10.7739317250146,1,160.8671875,100.2676369834185
4398,26,4,15.404545454545454,10.7739317250146,2,163.86301369863014,101.528917687069
4399,26,4,15.404545454545454,10.7739317250146,3,173.91964285714286,103.36843701805837
4400,26,4,15.404545454545454,10.7739317250146,4,172.2421875,98.26649337312323
4401,26,4,15.404545454545454,10.7739317250146,5,152.90755208333334,106.80008762794894
4402,26,4,15.404545454545454,10.7739317250146,6,130.34895833333334,86.10400066090496
4403,26,5,27.804545454545455,14.339426673570026,0,149.0859375,96.97423902957453
4404,26,5,27.804545454545455,14.339426673570026,1,160.8671875,100.2676369834185
4405,26,5,27.804545454545455,14.339426673570026,2,163.86301369863014,101.528917687069
4406,26,5,27.804545454545455,14.339426673570026,3,173.91964285714286,103.36843701805837
4407,26,5,27.804545454545455,14.339426673570026,4,172.2421875,98.26649337312323
4408,26,5,27.804545454545455,14.339426673570026,5,152.90755208333334,106.80008762794894
4409,26,5,27.804545454545455,14.339426673570026,6,130.34895833333334,86.10400066090496
4410,26,6,89.57272727272728,60.414694618621986,0,149.0859375,96.97423902957453
4411,26,6,89.57272727272728,60.414694618621986,1,160.8671875,100.2676369834185
